# BUSCO version is: 5.2.2 
# The lineage dataset is: basidiomycota_odb10 (Creation date: 2020-09-10, number of genomes: 133, number of BUSCOs: 1764)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
28at5204	Complete	CM008253.1	2611141	2622551	-	2465.5	2127	https://www.orthodb.org/v10?query=28at5204	PIK-related kinase
58at5204	Complete	CM008257.1	1757996	1773604	-	2007.6	1498	https://www.orthodb.org/v10?query=58at5204	Midasin
65at5204	Complete	CM008252.1	2588254	2599840	-	2823.7	2427	https://www.orthodb.org/v10?query=65at5204	Vacuolar protein sorting-associated protein 13
98at5204	Complete	CM008257.1	753909	761996	+	3725.6	1956	https://www.orthodb.org/v10?query=98at5204	Pre-mRNA-processing-splicing factor 8
158at5204	Complete	CM008261.1	840236	847411	+	3027.4	1710	https://www.orthodb.org/v10?query=158at5204	carbamoyl-phosphate synthase
169at5204	Complete	CM008251.1	549608	558853	-	2334.5	1769	https://www.orthodb.org/v10?query=169at5204	Translational activator GCN1
213at5204	Complete	CM008253.1	1807943	1820068	+	1331.7	1427	https://www.orthodb.org/v10?query=213at5204	FMP27, SW domain
216at5204	Complete	CM008251.1	4392578	4402266	-	1983.6	1512	https://www.orthodb.org/v10?query=216at5204	CCR4-NOT transcription complex subunit 1
271at5204	Complete	CM008253.1	2273399	2281998	+	1484.0	1373	https://www.orthodb.org/v10?query=271at5204	Phosphatidylinositol 3-/4-kinase, catalytic domain
278at5204	Fragmented	CM008251.1	559189	565687	+	872.8	861	https://www.orthodb.org/v10?query=278at5204	Armadillo-type fold
284at5204	Complete	CM008255.1	1122453	1134433	-	2639.3	2432	https://www.orthodb.org/v10?query=284at5204	E3 ubiquitin ligase, domain of unknown function DUF908
287at5204	Complete	CM008255.1	1938429	1945705	-	2120.2	1529	https://www.orthodb.org/v10?query=287at5204	cytoplasmic protein
289at5204	Complete	CM008252.1	1920986	1930647	-	1165.7	972	https://www.orthodb.org/v10?query=289at5204	Phosphatidylinositol-4-phosphate 5-kinase, core
337at5204	Complete	CM008251.1	2033164	2040129	-	2977.3	1586	https://www.orthodb.org/v10?query=337at5204	glutamate synthase
369at5204	Complete	CM008255.1	1577592	1584523	-	2945.6	1746	https://www.orthodb.org/v10?query=369at5204	pre-mRNA-splicing helicase BRR2
373at5204	Complete	CM008254.1	3300737	3310284	-	1339.2	1590	https://www.orthodb.org/v10?query=373at5204	Serine/threonine-protein kinase Tel1
393at5204	Complete	CM008256.1	589200	596262	-	2469.8	1478	https://www.orthodb.org/v10?query=393at5204	DNA polymerase epsilon catalytic subunit
474at5204	Complete	CM008251.1	2783420	2790274	+	1402.3	1131	https://www.orthodb.org/v10?query=474at5204	Phosphatidylinositol 3-/4-kinase, catalytic domain
475at5204	Complete	CM008251.1	1216518	1223101	-	2221.4	1536	https://www.orthodb.org/v10?query=475at5204	SNF2-related, N-terminal domain
479at5204	Complete	CM008259.1	57171	64527	-	1216.8	1297	https://www.orthodb.org/v10?query=479at5204	clathrin-coated vesicle protein
501at5204	Complete	CM008259.1	257921	264765	+	720.1	1049	https://www.orthodb.org/v10?query=501at5204	Nuclear pore complex protein Nup205
529at5204	Complete	CM008254.1	2888718	2894653	+	2728.8	1442	https://www.orthodb.org/v10?query=529at5204	Clathrin heavy chain
543at5204	Complete	CM008257.1	1332854	1339294	+	755.4	810	https://www.orthodb.org/v10?query=543at5204	Helicase sen1
593at5204	Complete	CM008252.1	507313	513704	-	2462.9	1520	https://www.orthodb.org/v10?query=593at5204	DNA-directed RNA polymerase subunit
610at5204	Complete	CM008256.1	686958	692502	+	1651.3	1200	https://www.orthodb.org/v10?query=610at5204	Pentafunctional AROM polypeptide
615at5204	Complete	CM008253.1	703218	710212	-	1962.9	1216	https://www.orthodb.org/v10?query=615at5204	Sec7, C-terminal
646at5204	Complete	CM008253.1	641438	648048	+	1477.5	1250	https://www.orthodb.org/v10?query=646at5204	Ras GTPase-activating protein
685at5204	Complete	CM008252.1	616846	622616	-	1551.9	1316	https://www.orthodb.org/v10?query=685at5204	ubiquitin-protein ligase
793at5204	Complete	CM008257.1	828273	834502	-	1120.0	755	https://www.orthodb.org/v10?query=793at5204	Phospholipase
817at5204	Complete	CM008253.1	978348	983291	-	1667.3	997	https://www.orthodb.org/v10?query=817at5204	DNA-directed RNA polymerase subunit
838at5204	Complete	CM008254.1	3227650	3234691	+	2968.9	1683	https://www.orthodb.org/v10?query=838at5204	Acetyl-CoA carboxylase
845at5204	Complete	CM008259.1	742582	750399	+	1055.1	1393	https://www.orthodb.org/v10?query=845at5204	U3 small nucleolar RNA-associated protein 10
859at5204	Complete	CM008253.1	1750987	1755968	-	1241.9	933	https://www.orthodb.org/v10?query=859at5204	WD40-repeat-containing domain
877at5204	Complete	CM008253.1	555784	560303	-	1815.9	1123	https://www.orthodb.org/v10?query=877at5204	L-aminoadipate-semialdehyde dehydrogenase
972at5204	Complete	CM008253.1	923634	929817	-	1593.6	1118	https://www.orthodb.org/v10?query=972at5204	Kinesin-like protein
981at5204	Complete	CM008258.1	523989	530222	-	712.0	876	https://www.orthodb.org/v10?query=981at5204	metal ion binding oxidoreductase
1027at5204	Complete	CM008259.1	994227	1001158	+	560.7	427	https://www.orthodb.org/v10?query=1027at5204	anaphase promoting complex subunit 1
1065at5204	Complete	CM008257.1	1056792	1062643	+	939.7	768	https://www.orthodb.org/v10?query=1065at5204	Rapamycin-insensitive companion of mTOR, domain 4
1108at5204	Complete	CM008255.1	1284990	1291700	-	1642.2	1007	https://www.orthodb.org/v10?query=1108at5204	Phosphoribosylformylglycinamidine synthase
1165at5204	Complete	CM008252.1	3411607	3417877	+	1408.1	1045	https://www.orthodb.org/v10?query=1165at5204	transcription initiation factor TFIID subunit 2
1231at5204	Complete	CM008252.1	2017614	2023239	+	857.6	667	https://www.orthodb.org/v10?query=1231at5204	P-loop containing nucleoside triphosphate hydrolase protein
1257at5204	Complete	CM008252.1	2963548	2967822	-	1723.8	978	https://www.orthodb.org/v10?query=1257at5204	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
1264at5204	Complete	CM008257.1	790473	796730	-	780.1	897	https://www.orthodb.org/v10?query=1264at5204	Serine/threonine-protein kinase
1341at5204	Complete	CM008251.1	2953610	2958703	-	997.8	1060	https://www.orthodb.org/v10?query=1341at5204	Transcription elongation factor Spt6
