# BUSCO version is: 5.2.2 
# The lineage dataset is: basidiomycota_odb10 (Creation date: 2020-09-10, number of genomes: 133, number of BUSCOs: 1764)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
28at5204	Complete	NBAY01000013.1	126565	138121	-	3068.8	2585	https://www.orthodb.org/v10?query=28at5204	PIK-related kinase
58at5204	Complete	NBAY01000055.1	99480	115203	+	2059.0	1460	https://www.orthodb.org/v10?query=58at5204	Midasin
65at5204	Complete	NBAY01000016.1	608806	620538	+	2786.4	2462	https://www.orthodb.org/v10?query=65at5204	Vacuolar protein sorting-associated protein 13
98at5204	Complete	NBAY01000012.1	642181	650673	-	3292.2	1761	https://www.orthodb.org/v10?query=98at5204	Pre-mRNA-processing-splicing factor 8
158at5204	Duplicated	NBAY01000039.1	271987	279175	+	2868.6	1655	https://www.orthodb.org/v10?query=158at5204	carbamoyl-phosphate synthase
158at5204	Duplicated	NBAY01000089.1	112054	127562	+	2735.0	1712	https://www.orthodb.org/v10?query=158at5204	carbamoyl-phosphate synthase
169at5204	Complete	NBAY01000015.1	632661	641806	-	2431.7	1856	https://www.orthodb.org/v10?query=169at5204	Translational activator GCN1
213at5204	Missing
216at5204	Complete	NBAY01000003.1	1907800	1922885	+	2051.2	1535	https://www.orthodb.org/v10?query=216at5204	CCR4-NOT transcription complex subunit 1
271at5204	Complete	NBAY01000013.1	414133	422560	+	1633.8	1371	https://www.orthodb.org/v10?query=271at5204	Phosphatidylinositol 3-/4-kinase, catalytic domain
278at5204	Complete	NBAY01000015.1	618226	626604	-	1516.8	1336	https://www.orthodb.org/v10?query=278at5204	Armadillo-type fold
284at5204	Complete	NBAY01000011.1	216168	228221	+	2650.0	2494	https://www.orthodb.org/v10?query=284at5204	E3 ubiquitin ligase, domain of unknown function DUF908
287at5204	Complete	NBAY01000001.1	625866	633160	-	2082.6	1518	https://www.orthodb.org/v10?query=287at5204	cytoplasmic protein
289at5204	Complete	NBAY01000002.1	1857905	1867628	+	1098.3	999	https://www.orthodb.org/v10?query=289at5204	Phosphatidylinositol-4-phosphate 5-kinase, core
337at5204	Complete	NBAY01000003.1	1039717	1046980	+	3161.0	1668	https://www.orthodb.org/v10?query=337at5204	glutamate synthase
369at5204	Complete	NBAY01000011.1	59014	65944	+	2968.7	1721	https://www.orthodb.org/v10?query=369at5204	pre-mRNA-splicing helicase BRR2
373at5204	Complete	NBAY01000059.1	183297	192893	+	1364.9	1566	https://www.orthodb.org/v10?query=373at5204	Serine/threonine-protein kinase Tel1
393at5204	Complete	NBAY01000020.1	43975	58403	+	2616.7	1569	https://www.orthodb.org/v10?query=393at5204	DNA polymerase epsilon catalytic subunit
474at5204	Complete	NBAY01000006.1	279810	287211	+	1574.7	1206	https://www.orthodb.org/v10?query=474at5204	Phosphatidylinositol 3-/4-kinase, catalytic domain
475at5204	Complete	NBAY01000027.1	11848	18342	-	2217.0	1531	https://www.orthodb.org/v10?query=475at5204	SNF2-related, N-terminal domain
479at5204	Complete	NBAY01000070.1	104914	111454	+	1495.1	1342	https://www.orthodb.org/v10?query=479at5204	clathrin-coated vesicle protein
501at5204	Complete	NBAY01000014.1	422569	428703	-	685.9	1042	https://www.orthodb.org/v10?query=501at5204	Nuclear pore complex protein Nup205
529at5204	Complete	NBAY01000004.1	991938	999338	+	2654.1	1442	https://www.orthodb.org/v10?query=529at5204	Clathrin heavy chain
543at5204	Complete	NBAY01000012.1	153622	159512	-	767.4	826	https://www.orthodb.org/v10?query=543at5204	Helicase sen1
593at5204	Complete	NBAY01000005.1	1011954	1018433	+	2566.3	1537	https://www.orthodb.org/v10?query=593at5204	DNA-directed RNA polymerase subunit
610at5204	Complete	NBAY01000020.1	320573	325665	-	1773.0	1219	https://www.orthodb.org/v10?query=610at5204	Pentafunctional AROM polypeptide
615at5204	Complete	NBAY01000008.1	737540	744486	-	1794.1	1102	https://www.orthodb.org/v10?query=615at5204	Sec7, C-terminal
646at5204	Complete	NBAY01000008.1	296638	303285	+	1499.7	1241	https://www.orthodb.org/v10?query=646at5204	Ras GTPase-activating protein
685at5204	Complete	NBAY01000005.1	859037	864766	-	1572.1	1302	https://www.orthodb.org/v10?query=685at5204	ubiquitin-protein ligase
793at5204	Complete	NBAY01000012.1	580556	586868	-	1118.2	752	https://www.orthodb.org/v10?query=793at5204	Phospholipase
817at5204	Duplicated	NBAY01000008.1	1149400	1154483	+	1953.2	1145	https://www.orthodb.org/v10?query=817at5204	DNA-directed RNA polymerase subunit
817at5204	Duplicated	NBAY01000153.1	16084	21167	-	1932.7	1145	https://www.orthodb.org/v10?query=817at5204	DNA-directed RNA polymerase subunit
838at5204	Complete	NBAY01000073.1	21334	28718	+	2925.7	1662	https://www.orthodb.org/v10?query=838at5204	Acetyl-CoA carboxylase
845at5204	Complete	NBAY01000001.1	2099661	2107192	+	1022.8	1399	https://www.orthodb.org/v10?query=845at5204	U3 small nucleolar RNA-associated protein 10
859at5204	Complete	NBAY01000013.1	705076	710057	-	1263.7	934	https://www.orthodb.org/v10?query=859at5204	WD40-repeat-containing domain
877at5204	Complete	NBAY01000057.1	101600	106159	+	1627.6	1039	https://www.orthodb.org/v10?query=877at5204	L-aminoadipate-semialdehyde dehydrogenase
972at5204	Complete	NBAY01000008.1	1051454	1057333	+	1616.3	1170	https://www.orthodb.org/v10?query=972at5204	Kinesin-like protein
981at5204	Duplicated	NBAY01000009.1	1010280	1016434	+	757.2	871	https://www.orthodb.org/v10?query=981at5204	metal ion binding oxidoreductase
981at5204	Duplicated	NBAY01000075.1	1477	7618	+	757.9	838	https://www.orthodb.org/v10?query=981at5204	metal ion binding oxidoreductase
1027at5204	Complete	NBAY01000001.1	2333827	2361798	-	581.8	451	https://www.orthodb.org/v10?query=1027at5204	anaphase promoting complex subunit 1
1065at5204	Complete	NBAY01000010.1	562476	567834	-	944.9	773	https://www.orthodb.org/v10?query=1065at5204	Rapamycin-insensitive companion of mTOR, domain 4
1108at5204	Complete	NBAY01000011.1	384822	391449	-	1619.3	1007	https://www.orthodb.org/v10?query=1108at5204	Phosphoribosylformylglycinamidine synthase
1165at5204	Complete	NBAY01000002.1	802719	808712	-	1341.8	1061	https://www.orthodb.org/v10?query=1165at5204	transcription initiation factor TFIID subunit 2
1231at5204	Missing
1257at5204	Complete	NBAY01000002.1	1358337	1362692	+	1747.4	970	https://www.orthodb.org/v10?query=1257at5204	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
1264at5204	Complete	NBAY01000012.1	505850	511996	-	711.6	958	https://www.orthodb.org/v10?query=1264at5204	Serine/threonine-protein kinase
1341at5204	Complete	NBAY01000006.1	552372	557373	+	1048.7	1036	https://www.orthodb.org/v10?query=1341at5204	Transcription elongation factor Spt6
1398at5204	Complete	NBAY01000004.1	844732	849478	-	1393.0	836	https://www.orthodb.org/v10?query=1398at5204	Nitrite/Sulfite reductase ferredoxin-like domain
