# BUSCO version is: 5.2.2 
# The lineage dataset is: basidiomycota_odb10 (Creation date: 2020-09-10, number of genomes: 133, number of BUSCOs: 1764)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
28at5204	Duplicated	NODE_143_length_71909_cov_36.688078	17667	29241	+	3128.3	2580	https://www.orthodb.org/v10?query=28at5204	PIK-related kinase
28at5204	Duplicated	NODE_501_length_38039_cov_9.087798	17603	29167	+	3128.9	2554	https://www.orthodb.org/v10?query=28at5204	PIK-related kinase
58at5204	Duplicated	NODE_298_length_52274_cov_9.459586	29319	45158	+	2057.5	1460	https://www.orthodb.org/v10?query=58at5204	Midasin
58at5204	Duplicated	NODE_645_length_31562_cov_55.174464	7202	23054	+	2036.5	1462	https://www.orthodb.org/v10?query=58at5204	Midasin
65at5204	Fragmented	NODE_246_length_56928_cov_38.867935	102	9163	+	2180.3	1908	https://www.orthodb.org/v10?query=65at5204	Vacuolar protein sorting-associated protein 13
98at5204	Duplicated	NODE_268_length_54979_cov_36.938345	38943	47409	-	3620.9	1881	https://www.orthodb.org/v10?query=98at5204	Pre-mRNA-processing-splicing factor 8
98at5204	Duplicated	NODE_329_length_49614_cov_9.742677	13088	21599	+	3695.8	1907	https://www.orthodb.org/v10?query=98at5204	Pre-mRNA-processing-splicing factor 8
158at5204	Complete	NODE_382_length_45394_cov_36.488934	30857	38071	-	3019.7	1693	https://www.orthodb.org/v10?query=158at5204	carbamoyl-phosphate synthase
169at5204	Duplicated	NODE_147_length_71576_cov_35.621365	50410	59569	-	2362.9	1854	https://www.orthodb.org/v10?query=169at5204	Translational activator GCN1
169at5204	Duplicated	NODE_73_length_93290_cov_8.678022	33839	43011	+	2374.6	1868	https://www.orthodb.org/v10?query=169at5204	Translational activator GCN1
213at5204	Duplicated	NODE_64_length_98982_cov_9.701946	64133	76164	+	1344.7	1482	https://www.orthodb.org/v10?query=213at5204	FMP27, SW domain
213at5204	Duplicated	NODE_7_length_185681_cov_39.260926	65581	77578	-	1372.0	1514	https://www.orthodb.org/v10?query=213at5204	FMP27, SW domain
216at5204	Duplicated	NODE_1079_length_19377_cov_8.298187	6972	19376	-	2013.3	1475	https://www.orthodb.org/v10?query=216at5204	CCR4-NOT transcription complex subunit 1
216at5204	Duplicated	NODE_160_length_68975_cov_35.971726	14433	27531	-	2021.3	1519	https://www.orthodb.org/v10?query=216at5204	CCR4-NOT transcription complex subunit 1
271at5204	Duplicated	NODE_79_length_91604_cov_38.310029	74779	83294	+	1643.4	1374	https://www.orthodb.org/v10?query=271at5204	Phosphatidylinositol 3-/4-kinase, catalytic domain
271at5204	Duplicated	NODE_83_length_90481_cov_9.275674	7996	14796	-	1619.4	1382	https://www.orthodb.org/v10?query=271at5204	Phosphatidylinositol 3-/4-kinase, catalytic domain
278at5204	Duplicated	NODE_147_length_71576_cov_35.621365	59898	68212	+	1527.3	1327	https://www.orthodb.org/v10?query=278at5204	Armadillo-type fold
278at5204	Duplicated	NODE_73_length_93290_cov_8.678022	25483	33495	-	1433.3	1269	https://www.orthodb.org/v10?query=278at5204	Armadillo-type fold
284at5204	Duplicated	NODE_461_length_40568_cov_8.687165	3246	14936	-	2505.8	2317	https://www.orthodb.org/v10?query=284at5204	E3 ubiquitin ligase, domain of unknown function DUF908
284at5204	Duplicated	NODE_9_length_176201_cov_37.092060	116751	128855	+	2758.2	2429	https://www.orthodb.org/v10?query=284at5204	E3 ubiquitin ligase, domain of unknown function DUF908
287at5204	Duplicated	NODE_303_length_51978_cov_33.860658	15613	22935	+	2088.9	1522	https://www.orthodb.org/v10?query=287at5204	cytoplasmic protein
287at5204	Duplicated	NODE_319_length_50206_cov_7.821979	32309	39633	-	2061.2	1523	https://www.orthodb.org/v10?query=287at5204	cytoplasmic protein
289at5204	Complete	NODE_12_length_165105_cov_38.845959	130493	140341	+	1272.7	1002	https://www.orthodb.org/v10?query=289at5204	Phosphatidylinositol-4-phosphate 5-kinase, core
337at5204	Duplicated	NODE_152_length_70806_cov_9.281794	1328	5987	+	2719.7	1454	https://www.orthodb.org/v10?query=337at5204	glutamate synthase
337at5204	Duplicated	NODE_759_length_27580_cov_35.015017	21589	27579	-	2756.2	1454	https://www.orthodb.org/v10?query=337at5204	glutamate synthase
369at5204	Duplicated	NODE_234_length_57600_cov_9.174254	23156	30085	-	2968.2	1715	https://www.orthodb.org/v10?query=369at5204	pre-mRNA-splicing helicase BRR2
369at5204	Duplicated	NODE_249_length_56891_cov_38.035537	28006	34932	+	2982.0	1711	https://www.orthodb.org/v10?query=369at5204	pre-mRNA-splicing helicase BRR2
373at5204	Duplicated	NODE_1028_length_20305_cov_35.612814	2266	11841	+	1317.5	1495	https://www.orthodb.org/v10?query=373at5204	Serine/threonine-protein kinase Tel1
373at5204	Duplicated	NODE_556_length_35559_cov_9.430162	8862	18430	-	1506.8	1683	https://www.orthodb.org/v10?query=373at5204	Serine/threonine-protein kinase Tel1
393at5204	Complete	NODE_148_length_71413_cov_38.170629	43598	59251	-	2601.6	1530	https://www.orthodb.org/v10?query=393at5204	DNA polymerase epsilon catalytic subunit
474at5204	Duplicated	NODE_132_length_74925_cov_9.207167	1241	8136	+	1388.8	1132	https://www.orthodb.org/v10?query=474at5204	Phosphatidylinositol 3-/4-kinase, catalytic domain
474at5204	Duplicated	NODE_156_length_69299_cov_37.766736	57155	64631	-	1423.0	1176	https://www.orthodb.org/v10?query=474at5204	Phosphatidylinositol 3-/4-kinase, catalytic domain
475at5204	Complete	NODE_14_length_162281_cov_36.382814	31508	38012	+	2215.1	1519	https://www.orthodb.org/v10?query=475at5204	SNF2-related, N-terminal domain
479at5204	Duplicated	NODE_1426_length_13722_cov_8.145537	9774	13719	+	1049.2	820	https://www.orthodb.org/v10?query=479at5204	clathrin-coated vesicle protein
479at5204	Duplicated	NODE_1834_length_9371_cov_28.943082	5420	9368	+	1043.0	877	https://www.orthodb.org/v10?query=479at5204	clathrin-coated vesicle protein
501at5204	Duplicated	NODE_244_length_56958_cov_21.911878	12264	19116	+	713.2	1097	https://www.orthodb.org/v10?query=501at5204	Nuclear pore complex protein Nup205
