# BUSCO version is: 5.2.2 
# The lineage dataset is: basidiomycota_odb10 (Creation date: 2020-09-10, number of genomes: 133, number of BUSCOs: 1764)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
28at5204	Complete	NODE_107_length_14758_cov_45.242899	2916	14480	-	3133.9	2602	https://www.orthodb.org/v10?query=28at5204	PIK-related kinase
58at5204	Complete	NODE_210_length_11837_cov_30.523639	582	11822	+	1899.4	1252	https://www.orthodb.org/v10?query=58at5204	Midasin
65at5204	Complete	NODE_139_length_13728_cov_46.129221	4145	13727	-	2311.1	2013	https://www.orthodb.org/v10?query=65at5204	Vacuolar protein sorting-associated protein 13
98at5204	Fragmented	NODE_1360_length_5313_cov_45.521581	460	5266	+	2597.3	1255	https://www.orthodb.org/v10?query=98at5204	Pre-mRNA-processing-splicing factor 8
158at5204	Missing
169at5204	Missing
213at5204	Complete	NODE_36_length_21099_cov_45.909476	3464	15495	+	1344.7	1482	https://www.orthodb.org/v10?query=213at5204	FMP27, SW domain
216at5204	Fragmented	NODE_2419_length_3741_cov_45.780841	124	3736	+	1028.9	699	https://www.orthodb.org/v10?query=216at5204	CCR4-NOT transcription complex subunit 1
271at5204	Missing
278at5204	Complete	NODE_1771_length_4556_cov_42.121902	2	4554	-	1346.5	1123	https://www.orthodb.org/v10?query=278at5204	Armadillo-type fold
284at5204	Fragmented	NODE_1349_length_5338_cov_44.421403	416	4839	+	1600.7	1107	https://www.orthodb.org/v10?query=284at5204	E3 ubiquitin ligase, domain of unknown function DUF908
287at5204	Fragmented	NODE_1739_length_4602_cov_41.886851	1036	4538	+	1150.4	801	https://www.orthodb.org/v10?query=287at5204	cytoplasmic protein
289at5204	Missing
337at5204	Fragmented	NODE_1893_length_4374_cov_42.158483	27	4371	-	2251.3	1155	https://www.orthodb.org/v10?query=337at5204	glutamate synthase
369at5204	Complete	NODE_702_length_7352_cov_47.050172	1	5932	-	2648.7	1493	https://www.orthodb.org/v10?query=369at5204	pre-mRNA-splicing helicase BRR2
373at5204	Missing
393at5204	Missing
474at5204	Complete	NODE_1_length_61998_cov_46.976212	31317	38212	-	1389.5	1132	https://www.orthodb.org/v10?query=474at5204	Phosphatidylinositol 3-/4-kinase, catalytic domain
475at5204	Complete	NODE_940_length_6504_cov_47.567139	436	6501	-	2078.0	1457	https://www.orthodb.org/v10?query=475at5204	SNF2-related, N-terminal domain
479at5204	Complete	NODE_1088_length_6032_cov_40.708816	4	5902	+	1487.9	1252	https://www.orthodb.org/v10?query=479at5204	clathrin-coated vesicle protein
501at5204	Fragmented	NODE_6880_length_1743_cov_50.892557	4	1736	+	350.9	361	https://www.orthodb.org/v10?query=501at5204	Nuclear pore complex protein Nup205
529at5204	Fragmented	NODE_21661_length_508_cov_44.190255	1	483	-	278.4	143	https://www.orthodb.org/v10?query=529at5204	Clathrin heavy chain
543at5204	Fragmented	NODE_3245_length_3088_cov_41.861508	2	3079	+	598.4	562	https://www.orthodb.org/v10?query=543at5204	Helicase sen1
593at5204	Missing
610at5204	Fragmented	NODE_7442_length_1622_cov_40.620712	269	1621	-	590.7	376	https://www.orthodb.org/v10?query=610at5204	Pentafunctional AROM polypeptide
615at5204	Fragmented	NODE_612_length_7844_cov_44.813055	1	4548	-	1324.3	840	https://www.orthodb.org/v10?query=615at5204	Sec7, C-terminal
646at5204	Missing
685at5204	Fragmented	NODE_461_length_8816_cov_45.267994	5921	8814	-	772.0	681	https://www.orthodb.org/v10?query=685at5204	ubiquitin-protein ligase
793at5204	Complete	NODE_845_length_6777_cov_45.419254	2272	6770	-	1029.8	652	https://www.orthodb.org/v10?query=793at5204	Phospholipase
817at5204	Missing
838at5204	Missing
845at5204	Fragmented	NODE_2902_length_3326_cov_46.323792	141	926	-	254.7	224	https://www.orthodb.org/v10?query=845at5204	U3 small nucleolar RNA-associated protein 10
859at5204	Fragmented	NODE_3306_length_3050_cov_48.385469	2906	3019	+	851.8	614	https://www.orthodb.org/v10?query=859at5204	WD40-repeat-containing domain
877at5204	Fragmented	NODE_7116_length_1692_cov_42.308978	7	1691	+	559.0	399	https://www.orthodb.org/v10?query=877at5204	L-aminoadipate-semialdehyde dehydrogenase
972at5204	Complete	NODE_214_length_11771_cov_46.415427	2364	8222	+	1767.9	1185	https://www.orthodb.org/v10?query=972at5204	Kinesin-like protein
981at5204	Missing
1027at5204	Complete	NODE_8254_length_1471_cov_25.078192	1274	1468	+	435.4	355	https://www.orthodb.org/v10?query=1027at5204	anaphase promoting complex subunit 1
1065at5204	Missing
1108at5204	Fragmented	NODE_775_length_7035_cov_47.466370	2	5415	-	1237.4	714	https://www.orthodb.org/v10?query=1108at5204	Phosphoribosylformylglycinamidine synthase
1165at5204	Missing
1231at5204	Missing
1257at5204	Complete	NODE_539_length_8250_cov_45.109996	2428	6772	+	1764.1	973	https://www.orthodb.org/v10?query=1257at5204	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
1264at5204	Complete	NODE_1748_length_4590_cov_44.650565	2	4589	-	639.7	717	https://www.orthodb.org/v10?query=1264at5204	Serine/threonine-protein kinase
1341at5204	Complete	NODE_675_length_7465_cov_44.168246	626	5538	-	1001.4	1027	https://www.orthodb.org/v10?query=1341at5204	Transcription elongation factor Spt6
1398at5204	Complete	NODE_103_length_14917_cov_46.072574	3234	8039	-	1386.1	835	https://www.orthodb.org/v10?query=1398at5204	Nitrite/Sulfite reductase ferredoxin-like domain
1399at5204	Fragmented	NODE_4981_length_2262_cov_42.554233	11	2259	-	782.2	516	https://www.orthodb.org/v10?query=1399at5204	kinase
1489at5204	Complete	NODE_112_length_14567_cov_41.102692	1421	10481	-	1065.5	910	https://www.orthodb.org/v10?query=1489at5204	START domain
1528at5204	Missing
1532at5204	Missing
1534at5204	Complete	NODE_2190_length_3991_cov_47.202095	551	3987	+	613.8	640	https://www.orthodb.org/v10?query=1534at5204	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
1604at5204	Complete	NODE_521_length_8415_cov_29.174742	2	4763	-	1222.8	808	https://www.orthodb.org/v10?query=1604at5204	Condensin complex subunit 1
1620at5204	Duplicated	NODE_1991_length_4218_cov_23.452548	102	4166	-	973.2	879	https://www.orthodb.org/v10?query=1620at5204	Tetratricopeptide repeat
1620at5204	Duplicated	NODE_2269_length_3921_cov_22.656868	102	3920	-	914.7	830	https://www.orthodb.org/v10?query=1620at5204	Tetratricopeptide repeat
1657at5204	Fragmented	NODE_5304_length_2153_cov_44.412331	60	2121	+	772.0	429	https://www.orthodb.org/v10?query=1657at5204	glycoside hydrolase family 63 protein
1675at5204	Complete	NODE_1830_length_4477_cov_42.668864	6	4474	+	1417.8	815	https://www.orthodb.org/v10?query=1675at5204	Cation-transporting ATPase
1685at5204	Fragmented	NODE_400_length_9315_cov_47.057263	6675	8937	+	876.6	490	https://www.orthodb.org/v10?query=1685at5204	myosin 5
1705at5204	Complete	NODE_4218_length_2574_cov_41.294754	2	2573	-	1334.8	673	https://www.orthodb.org/v10?query=1705at5204	ATP-citrate synthase
1742at5204	Missing
1752at5204	Complete	NODE_2205_length_3975_cov_44.416111	1	3472	-	647.0	591	https://www.orthodb.org/v10?query=1752at5204	Ankyrin repeat-containing domain
1814at5204	Missing
1857at5204	Complete	NODE_753_length_7123_cov_45.704087	559	4457	+	1272.8	744	https://www.orthodb.org/v10?query=1857at5204	valine-tRNA ligase
1870at5204	Fragmented	NODE_2225_length_3950_cov_43.450039	56	2873	-	536.9	535	https://www.orthodb.org/v10?query=1870at5204	nucleoporin
1877at5204	Missing
1922at5204	Fragmented	NODE_7205_length_1672_cov_44.825705	193	1671	-	597.4	385	https://www.orthodb.org/v10?query=1922at5204	high-affinity cell membrane calcium channel
1994at5204	Complete	NODE_2339_length_3852_cov_44.051656	0	3623	-	937.5	839	https://www.orthodb.org/v10?query=1994at5204	Exportin-T
2004at5204	Missing
2040at5204	Fragmented	NODE_2236_length_3942_cov_43.667788	8	3086	+	727.6	645	https://www.orthodb.org/v10?query=2040at5204	nucleic acid-binding protein
2043at5204	Complete	NODE_1144_length_5881_cov_44.597691	1211	5259	-	635.6	638	https://www.orthodb.org/v10?query=2043at5204	exocyst complex component sec8
2050at5204	Complete	NODE_2578_length_3590_cov_23.035582	93	3586	-	1518.1	841	https://www.orthodb.org/v10?query=2050at5204	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
2069at5204	Fragmented	NODE_8_length_34751_cov_25.445723	15806	18947	-	363.8	541	https://www.orthodb.org/v10?query=2069at5204	P-loop containing nucleoside triphosphate hydrolase protein
2136at5204	Fragmented	NODE_6265_length_1884_cov_48.149419	110	1269	-	694.7	349	https://www.orthodb.org/v10?query=2136at5204	Glycogen debranching enzyme
2147at5204	Fragmented	NODE_5256_length_2170_cov_47.729097	1	1771	+	235.1	203	https://www.orthodb.org/v10?query=2147at5204	Tfc3, extended winged-helix domain
2157at5204	Fragmented	NODE_3778_length_2781_cov_46.937130	2	2779	-	567.2	561	https://www.orthodb.org/v10?query=2157at5204	Nucleoporin Pom152
2214at5204	Missing
2273at5204	Missing
2279at5204	Missing
2286at5204	Complete	NODE_48_length_18788_cov_47.190156	130	3798	-	780.2	822	https://www.orthodb.org/v10?query=2286at5204	TRAPP II complex, Trs120
2321at5204	Duplicated	NODE_1162_length_5830_cov_26.843560	166	3650	-	1349.0	826	https://www.orthodb.org/v10?query=2321at5204	leucine-tRNA ligase
2321at5204	Duplicated	NODE_1365_length_5295_cov_25.777693	1498	5247	+	1249.6	788	https://www.orthodb.org/v10?query=2321at5204	leucine-tRNA ligase
2413at5204	Fragmented	NODE_11107_length_1095_cov_46.203340	2	1093	-	497.8	257	https://www.orthodb.org/v10?query=2413at5204	Autophagy-related protein 2
2449at5204	Missing
2471at5204	Fragmented	NODE_14156_length_839_cov_53.292651	5	838	-	535.0	268	https://www.orthodb.org/v10?query=2471at5204	DNA-directed RNA polymerase
2498at5204	Missing
2508at5204	Complete	NODE_543_length_8227_cov_43.605399	3763	6952	-	515.3	553	https://www.orthodb.org/v10?query=2508at5204	GPI inositol-deacylase
2566at5204	Missing
2590at5204	Complete	NODE_4015_length_2665_cov_43.960974	410	2662	-	1049.2	553	https://www.orthodb.org/v10?query=2590at5204	Formate-tetrahydrofolate ligase, FTHFS
2709at5204	Missing
2720at5204	Fragmented	NODE_8975_length_1352_cov_41.651765	46	1222	+	393.1	256	https://www.orthodb.org/v10?query=2720at5204	RuvA domain 2-like
2753at5204	Complete	NODE_5021_length_2250_cov_41.555913	176	2149	+	462.8	411	https://www.orthodb.org/v10?query=2753at5204	WD40-repeat-containing domain
2758at5204	Fragmented	NODE_33_length_22296_cov_45.329133	2	2307	-	1028.1	558	https://www.orthodb.org/v10?query=2758at5204	Exportin-1
2842at5204	Fragmented	NODE_1956_length_4284_cov_43.305919	2	3824	-	273.4	224	https://www.orthodb.org/v10?query=2842at5204	ras GEF
2846at5204	Missing
2855at5204	Complete	NODE_10_length_33259_cov_44.309686	15898	20203	-	1539.8	864	https://www.orthodb.org/v10?query=2855at5204	Phospholipid-transporting ATPase
2877at5204	Complete	NODE_3_length_57643_cov_44.441736	12725	17047	+	1463.5	872	https://www.orthodb.org/v10?query=2877at5204	ubiquitin carboxyl-terminal hydrolase 5
2914at5204	Missing
2963at5204	Complete	NODE_1944_length_4294_cov_31.865307	2	2213	-	782.2	481	https://www.orthodb.org/v10?query=2963at5204	K Homology domain, type 1
3010at5204	Complete	NODE_770_length_7055_cov_46.643881	1750	6247	-	886.6	732	https://www.orthodb.org/v10?query=3010at5204	SNF2-related, N-terminal domain
3036at5204	Fragmented	NODE_5031_length_2246_cov_24.905486	69	2204	+	1007.3	551	https://www.orthodb.org/v10?query=3036at5204	Alanine--tRNA ligase
3055at5204	Complete	NODE_1818_length_4491_cov_43.912098	1239	4488	-	1066.1	763	https://www.orthodb.org/v10?query=3055at5204	importin beta-4 subunit
3142at5204	Missing
3148at5204	Fragmented	NODE_7878_length_1537_cov_40.946575	2	1476	-	643.9	349	https://www.orthodb.org/v10?query=3148at5204	Pre-mRNA-splicing factor RSE1
3198at5204	Fragmented	NODE_9360_length_1300_cov_47.488962	171	1076	-	271.9	243	https://www.orthodb.org/v10?query=3198at5204	SH3 domain
