# BUSCO version is: 5.2.2 
# The lineage dataset is: basidiomycota_odb10 (Creation date: 2020-09-10, number of genomes: 133, number of BUSCOs: 1764)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
28at5204	Complete	NBAZ01000004.1	1468924	1480373	-	2415.2	2197	https://www.orthodb.org/v10?query=28at5204	PIK-related kinase
58at5204	Complete	NBAZ01000027.1	134078	149551	+	1828.4	1351	https://www.orthodb.org/v10?query=58at5204	Midasin
65at5204	Complete	NBAZ01000001.1	2292646	2304249	-	2541.0	2307	https://www.orthodb.org/v10?query=65at5204	Vacuolar protein sorting-associated protein 13
98at5204	Complete	NBAZ01000013.1	554610	562510	-	3378.0	1753	https://www.orthodb.org/v10?query=98at5204	Pre-mRNA-processing-splicing factor 8
158at5204	Complete	NBAZ01000017.1	91941	99144	+	2903.7	1578	https://www.orthodb.org/v10?query=158at5204	carbamoyl-phosphate synthase
169at5204	Complete	NBAZ01000003.1	1607981	1617195	-	2284.4	1770	https://www.orthodb.org/v10?query=169at5204	Translational activator GCN1
213at5204	Complete	NBAZ01000004.1	681934	694006	+	1324.2	1411	https://www.orthodb.org/v10?query=213at5204	FMP27, SW domain
216at5204	Complete	NBAZ01000008.1	368249	377843	+	1906.4	1507	https://www.orthodb.org/v10?query=216at5204	CCR4-NOT transcription complex subunit 1
271at5204	Complete	NBAZ01000004.1	1165073	1173622	+	1408.7	1302	https://www.orthodb.org/v10?query=271at5204	Phosphatidylinositol 3-/4-kinase, catalytic domain
278at5204	Complete	NBAZ01000003.1	1617530	1626257	+	1430.6	1355	https://www.orthodb.org/v10?query=278at5204	Armadillo-type fold
284at5204	Complete	NBAZ01000003.1	2268725	2280721	+	2397.9	2212	https://www.orthodb.org/v10?query=284at5204	E3 ubiquitin ligase, domain of unknown function DUF908
287at5204	Complete	NBAZ01000003.1	2048417	2055367	-	1966.8	1531	https://www.orthodb.org/v10?query=287at5204	cytoplasmic protein
289at5204	Complete	NBAZ01000001.1	1636194	1645810	-	1200.5	997	https://www.orthodb.org/v10?query=289at5204	Phosphatidylinositol-4-phosphate 5-kinase, core
337at5204	Complete	NBAZ01000007.1	1381350	1388238	+	2676.8	1533	https://www.orthodb.org/v10?query=337at5204	glutamate synthase
369at5204	Complete	NBAZ01000003.1	1319266	1326200	-	2387.8	1486	https://www.orthodb.org/v10?query=369at5204	pre-mRNA-splicing helicase BRR2
373at5204	Complete	NBAZ01000018.1	345852	355332	-	1390.6	1532	https://www.orthodb.org/v10?query=373at5204	Serine/threonine-protein kinase Tel1
393at5204	Complete	NBAZ01000023.1	89136	96148	+	2622.9	1603	https://www.orthodb.org/v10?query=393at5204	DNA polymerase epsilon catalytic subunit
474at5204	Complete	NBAZ01000008.1	726337	733173	+	1264.6	1048	https://www.orthodb.org/v10?query=474at5204	Phosphatidylinositol 3-/4-kinase, catalytic domain
475at5204	Complete	NBAZ01000007.1	475887	482155	+	2132.0	1477	https://www.orthodb.org/v10?query=475at5204	SNF2-related, N-terminal domain
479at5204	Complete	NBAZ01000002.1	47439	54757	-	1019.4	1107	https://www.orthodb.org/v10?query=479at5204	clathrin-coated vesicle protein
